"Time","discovery"
2022-01-09 09:00:00,7819264
2022-01-09 09:00:10,7819264
2022-01-09 09:00:20,7819264
2022-01-09 09:00:30,7819264
2022-01-09 09:00:40,7819264
2022-01-09 09:00:50,7819264
2022-01-09 09:01:00,7819264
2022-01-09 09:01:10,7819264
2022-01-09 09:01:20,7819264
2022-01-09 09:01:30,7819264
2022-01-09 09:01:40,7819264
2022-01-09 09:01:50,7819264
2022-01-09 09:02:00,7819264
2022-01-09 09:02:10,7819264
2022-01-09 09:02:20,7819264
2022-01-09 09:02:30,7819264
2022-01-09 09:02:40,7819264
2022-01-09 09:02:50,7819264
2022-01-09 09:03:00,7819264
2022-01-09 09:03:10,7819264
2022-01-09 09:03:20,7819264
2022-01-09 09:03:30,7819264
2022-01-09 09:03:40,7819264
2022-01-09 09:03:50,7819264
2022-01-09 09:04:00,7819264
2022-01-09 09:04:10,7819264
2022-01-09 09:04:20,7819264
2022-01-09 09:04:30,7819264
2022-01-09 09:04:40,7819264
2022-01-09 09:04:50,7819264
2022-01-09 09:05:00,7819264
2022-01-09 09:05:10,7819264
2022-01-09 09:05:20,7819264
2022-01-09 09:05:30,7819264
2022-01-09 09:05:40,7819264
2022-01-09 09:05:50,7819264
2022-01-09 09:06:00,7819264
2022-01-09 09:06:10,7819264
2022-01-09 09:06:20,7819264
2022-01-09 09:06:30,7819264
2022-01-09 09:06:40,7819264
2022-01-09 09:06:50,7819264
2022-01-09 09:07:00,7819264
2022-01-09 09:07:10,7819264
2022-01-09 09:07:20,7819264
2022-01-09 09:07:30,7819264
2022-01-09 09:07:40,7819264
2022-01-09 09:07:50,7819264
2022-01-09 09:08:00,7819264
2022-01-09 09:08:10,7819264
2022-01-09 09:08:20,7819264
2022-01-09 09:08:30,7819264
2022-01-09 09:08:40,7819264
2022-01-09 09:08:50,7819264
2022-01-09 09:09:00,7819264
2022-01-09 09:09:10,7819264
2022-01-09 09:09:20,7819264
2022-01-09 09:09:30,7819264
2022-01-09 09:09:40,7819264
2022-01-09 09:09:50,7819264
2022-01-09 09:10:00,7819264
2022-01-09 09:10:10,7819264
2022-01-09 09:10:20,7819264
2022-01-09 09:10:30,7819264
2022-01-09 09:10:40,7819264
2022-01-09 09:10:50,7819264
2022-01-09 09:11:00,7819264
2022-01-09 09:11:10,7819264
2022-01-09 09:11:20,7819264
2022-01-09 09:11:30,7819264
2022-01-09 09:11:40,7819264
2022-01-09 09:11:50,7819264
2022-01-09 09:12:00,7819264
2022-01-09 09:12:10,7819264
2022-01-09 09:12:20,7819264
2022-01-09 09:12:30,7819264
2022-01-09 09:12:40,7819264
2022-01-09 09:12:50,7819264
2022-01-09 09:13:00,7819264
2022-01-09 09:13:10,7819264
2022-01-09 09:13:20,7819264
2022-01-09 09:13:30,7819264
2022-01-09 09:13:40,7819264
2022-01-09 09:13:50,7819264
2022-01-09 09:14:00,7819264
2022-01-09 09:14:10,7819264
2022-01-09 09:14:20,7819264
2022-01-09 09:14:30,7819264
2022-01-09 09:14:40,7819264
2022-01-09 09:14:50,7819264
2022-01-09 09:15:00,7819264
2022-01-09 09:15:10,7819264
2022-01-09 09:15:20,7819264
2022-01-09 09:15:30,7819264
2022-01-09 09:15:40,7819264
2022-01-09 09:15:50,7819264
2022-01-09 09:16:00,7819264
2022-01-09 09:16:10,7819264
2022-01-09 09:16:20,7819264
2022-01-09 09:16:30,7819264
2022-01-09 09:16:40,7819264
2022-01-09 09:16:50,7819264
2022-01-09 09:17:00,7819264
2022-01-09 09:17:10,7819264
2022-01-09 09:17:20,7819264
2022-01-09 09:17:30,7819264
2022-01-09 09:17:40,7819264
2022-01-09 09:17:50,7819264
2022-01-09 09:18:00,7819264

