sep=;
"Series";"Time";"Value"
"appmesh-prometheus";"2022-01-09T10:25:15+01:00";1937297408
"appmesh-prometheus";"2022-01-09T10:25:30+01:00";1940381696
"appmesh-prometheus";"2022-01-09T10:25:45+01:00";1940967424
"appmesh-prometheus";"2022-01-09T10:26:00+01:00";1939087360
"appmesh-prometheus";"2022-01-09T10:26:15+01:00";1958731776
"appmesh-prometheus";"2022-01-09T10:26:30+01:00";1969168384
"appmesh-prometheus";"2022-01-09T10:26:45+01:00";1980547072
"appmesh-prometheus";"2022-01-09T10:27:00+01:00";1982607360
"appmesh-prometheus";"2022-01-09T10:27:15+01:00";1982795776
"appmesh-prometheus";"2022-01-09T10:27:30+01:00";1983021056
"appmesh-prometheus";"2022-01-09T10:27:45+01:00";1982783488
"appmesh-prometheus";"2022-01-09T10:28:00+01:00";1982459904
"appmesh-prometheus";"2022-01-09T10:28:15+01:00";1982656512
"appmesh-prometheus";"2022-01-09T10:28:30+01:00";1982500864
"appmesh-prometheus";"2022-01-09T10:28:45+01:00";1982832640
"appmesh-prometheus";"2022-01-09T10:29:00+01:00";1982451712
"appmesh-prometheus";"2022-01-09T10:29:15+01:00";1982406656
"appmesh-prometheus";"2022-01-09T10:29:30+01:00";1983209472
"appmesh-prometheus";"2022-01-09T10:29:45+01:00";1984782336
"appmesh-prometheus";"2022-01-09T10:30:00+01:00";1986039808
"appmesh-prometheus";"2022-01-09T10:30:15+01:00";1985048576
"appmesh-prometheus";"2022-01-09T10:30:30+01:00";1984995328
"appmesh-prometheus";"2022-01-09T10:30:45+01:00";1985044480
"appmesh-prometheus";"2022-01-09T10:31:00+01:00";1983610880
"appmesh-prometheus";"2022-01-09T10:31:15+01:00";1983332352
"appmesh-prometheus";"2022-01-09T10:31:30+01:00";1983332352
"appmesh-prometheus";"2022-01-09T10:31:45+01:00";1983111168
"appmesh-prometheus";"2022-01-09T10:32:00+01:00";1983569920
"appmesh-prometheus";"2022-01-09T10:32:15+01:00";1982763008
"appmesh-prometheus";"2022-01-09T10:32:30+01:00";1982935040
"appmesh-prometheus";"2022-01-09T10:32:45+01:00";1983496192
