sep=;
"Series";"Time";"Value"
"appmesh-prometheus";"2022-01-09T10:22:00+01:00";0.12223555082416346
"appmesh-prometheus";"2022-01-09T10:22:15+01:00";0.12213354037401762
"appmesh-prometheus";"2022-01-09T10:22:30+01:00";0.12251510212960358
"appmesh-prometheus";"2022-01-09T10:22:45+01:00";0.11617017496028206
"appmesh-prometheus";"2022-01-09T10:23:00+01:00";0.15031778974420354
"appmesh-prometheus";"2022-01-09T10:23:15+01:00";0.1494135880129235
"appmesh-prometheus";"2022-01-09T10:23:30+01:00";0.15170027615925602
"appmesh-prometheus";"2022-01-09T10:23:45+01:00";0.12548660452648044
"appmesh-prometheus";"2022-01-09T10:24:00+01:00";0.1255142435683613
"appmesh-prometheus";"2022-01-09T10:24:15+01:00";0.1236552466920516
"appmesh-prometheus";"2022-01-09T10:24:30+01:00";0.12793049884758392
"appmesh-prometheus";"2022-01-09T10:24:45+01:00";0.12410446321242166
"appmesh-prometheus";"2022-01-09T10:25:00+01:00";0.1615275135347944
"appmesh-prometheus";"2022-01-09T10:25:15+01:00";0.17152779722180647
"appmesh-prometheus";"2022-01-09T10:25:30+01:00";0.17726339333830177
"appmesh-prometheus";"2022-01-09T10:25:45+01:00";0.12208911922916486
"appmesh-prometheus";"2022-01-09T10:26:00+01:00";0.11291428154897791
"appmesh-prometheus";"2022-01-09T10:26:15+01:00";0.1205210960213193
"appmesh-prometheus";"2022-01-09T10:26:30+01:00";0.12285503011473006
"appmesh-prometheus";"2022-01-09T10:26:45+01:00";0.12357428783856665
"appmesh-prometheus";"2022-01-09T10:27:00+01:00";0.15214817258805052
"appmesh-prometheus";"2022-01-09T10:27:15+01:00";0.15142045118495656
"appmesh-prometheus";"2022-01-09T10:27:30+01:00";0.1498000067494524
"appmesh-prometheus";"2022-01-09T10:27:45+01:00";0.11863525037495017
"appmesh-prometheus";"2022-01-09T10:28:00+01:00";0.11591878509637583
"appmesh-prometheus";"2022-01-09T10:28:15+01:00";0.11658987442038536
"appmesh-prometheus";"2022-01-09T10:28:30+01:00";0.11480165329024124
"appmesh-prometheus";"2022-01-09T10:28:45+01:00";0.11767283575234631
"appmesh-prometheus";"2022-01-09T10:29:00+01:00";0.1420814995225864
"appmesh-prometheus";"2022-01-09T10:29:15+01:00";0.14324066321159717
"appmesh-prometheus";"2022-01-09T10:29:30+01:00";0.14153362245494572
"appmesh-prometheus";"2022-01-09T10:29:45+01:00";0.10809205946598681
"appmesh-prometheus";"2022-01-09T10:30:00+01:00";0.10888025904720798
"appmesh-prometheus";"2022-01-09T10:30:15+01:00";0.10997913495052308
"appmesh-prometheus";"2022-01-09T10:30:30+01:00";0.11088132210434899
"appmesh-prometheus";"2022-01-09T10:30:45+01:00";0.11059496593792476
"appmesh-prometheus";"2022-01-09T10:31:00+01:00";0.1347163315483296
"appmesh-prometheus";"2022-01-09T10:31:15+01:00";0.1341787835863301
"appmesh-prometheus";"2022-01-09T10:31:30+01:00";0.14283311060918144
"appmesh-prometheus";"2022-01-09T10:31:45+01:00";0.10694907867300661
"appmesh-prometheus";"2022-01-09T10:32:00+01:00";0.10647556129221754
"appmesh-prometheus";"2022-01-09T10:32:15+01:00";0.09182204351421483
"appmesh-prometheus";"2022-01-09T10:32:30+01:00";0.10644684565953197
"appmesh-prometheus";"2022-01-09T10:32:45+01:00";0.14106147376672828
"controller";"2022-01-09T10:17:00+01:00";0.0022607944559260486
"controller";"2022-01-09T10:17:15+01:00";0.0016554177767049156
"controller";"2022-01-09T10:17:30+01:00";0.0013035122184779457
"controller";"2022-01-09T10:17:45+01:00";0.0015938514412420833
"controller";"2022-01-09T10:18:00+01:00";0.0017198394717379355
"controller";"2022-01-09T10:18:15+01:00";0.0016907655859160827
"controller";"2022-01-09T10:18:30+01:00";0.0031852524112780923
"controller";"2022-01-09T10:18:45+01:00";0.0031825533269238646
"controller";"2022-01-09T10:19:00+01:00";0.003277435904817177
"controller";"2022-01-09T10:19:15+01:00";0.0017353254779973414
"controller";"2022-01-09T10:19:30+01:00";0.0017568705090621646
"controller";"2022-01-09T10:19:45+01:00";0.001770080623305066
"controller";"2022-01-09T10:20:00+01:00";0.0017949249029585895
"controller";"2022-01-09T10:20:15+01:00";0.0024244416194576716
"controller";"2022-01-09T10:20:30+01:00";0.0023953354652587215
"controller";"2022-01-09T10:20:45+01:00";0.002194661504863567
"controller";"2022-01-09T10:21:00+01:00";0.0017904541366352805
"controller";"2022-01-09T10:21:15+01:00";0.0018469147666649228
"controller";"2022-01-09T10:21:30+01:00";0.0018745522691707025
"controller";"2022-01-09T10:21:45+01:00";0.0017043836276506802
"controller";"2022-01-09T10:22:00+01:00";0.0032530767980144164
"controller";"2022-01-09T10:22:15+01:00";0.0028626896500014705
"controller";"2022-01-09T10:22:30+01:00";0.0030481537462883667
"controller";"2022-01-09T10:22:45+01:00";0.002905128974809819
"controller";"2022-01-09T10:23:00+01:00";0.0016576358418190322
"controller";"2022-01-09T10:23:15+01:00";0.0016849921469056703
"controller";"2022-01-09T10:23:30+01:00";0.0017413499985687929
"controller";"2022-01-09T10:23:45+01:00";0.00230413467453167
"controller";"2022-01-09T10:24:00+01:00";0.0022884315162171195
"controller";"2022-01-09T10:24:15+01:00";0.0023566857499222613
"controller";"2022-01-09T10:24:30+01:00";0.0017654320450995369
"controller";"2022-01-09T10:24:45+01:00";0.0018230464193094839
"controller";"2022-01-09T10:25:00+01:00";0.0016757676510695803
"controller";"2022-01-09T10:25:15+01:00";0.0016518800129258872
"controller";"2022-01-09T10:25:30+01:00";0.0014909217659402972
"controller";"2022-01-09T10:25:45+01:00";0.002829003724578693
"controller";"2022-01-09T10:26:00+01:00";0.0028104692976446987
"controller";"2022-01-09T10:26:15+01:00";0.002761787664087635
"controller";"2022-01-09T10:26:30+01:00";0.0016834441413105061
"controller";"2022-01-09T10:26:45+01:00";0.0017878195426182083
"controller";"2022-01-09T10:27:00+01:00";0.001831287924571451
"controller";"2022-01-09T10:27:15+01:00";0.0023622600396841277
"controller";"2022-01-09T10:27:30+01:00";0.0023151737624506597
"controller";"2022-01-09T10:27:45+01:00";0.00259858998374934
"controller";"2022-01-09T10:28:00+01:00";0.0017412432325731528
"controller";"2022-01-09T10:28:15+01:00";0.0016937486853175828
"controller";"2022-01-09T10:28:30+01:00";0.0015127404515884828
"controller";"2022-01-09T10:28:45+01:00";0.001764289169961161
"controller";"2022-01-09T10:29:00+01:00";0.002365098622822965
"controller";"2022-01-09T10:29:15+01:00";0.002360605451742436
"controller";"2022-01-09T10:29:30+01:00";0.0023670984533948726
"controller";"2022-01-09T10:29:45+01:00";0.00173052251594229
"controller";"2022-01-09T10:30:00+01:00";0.0016785365386869045
"controller";"2022-01-09T10:30:15+01:00";0.0023590749116755463
"controller";"2022-01-09T10:30:30+01:00";0.002412920266695597
"controller";"2022-01-09T10:30:45+01:00";0.0024195184820428872
"controller";"2022-01-09T10:31:00+01:00";0.0017097263850770876
"controller";"2022-01-09T10:31:15+01:00";0.0017043024164351268
"controller";"2022-01-09T10:31:30+01:00";0.001717089380445351
"controller";"2022-01-09T10:31:45+01:00";0.0017671893688338519
"controller";"2022-01-09T10:32:00+01:00";0.0017289888455965295
"controller";"2022-01-09T10:32:15+01:00";0.003345739679504933
"controller";"2022-01-09T10:32:30+01:00";0.003376090887072276
"controller";"2022-01-09T10:32:45+01:00";0.003314154211383225
